,StartDate,EndDate,Status,Progress,duration_p1,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,GovtConf1_Future,GovtConf2_Feel,GovtConf3_Trust,GovtConf4_Views,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID,NumWithHeadersOpened,NumWithLinksClicked,ProtectYourself,ProtectYourself_Clicked,ProtectYourself_Details,AmazonHP,AmazonHP_Clicked,AmazonHP_Details,email_IRS,email_IRS_Clicked,email_IRS_Details,web_IRS,web_IRS_Clicked,web_IRS_Details,apple,apple_Clicked,apple_Details,amazon_Product,amazon_Product_Clicked,amazon_Product_Details,email_mcafee,email_mcafee_Clicked,email_mcafee_Details,GetProtected,GetProtected_Clicked,GetProtected_Details,ExistInMongo_Training,MongoTraining_Complete,StartDate_p2,EndDate_p2,Status_p2,Progress_p2,duration_p2,Finished_p2,RecordedDate_p2,ResponseId_p2,RecipientLastName_p2,RecipientFirstName_p2,RecipientEmail_p2,ExternalReference_p2,DistributionChannel_p2,UserLanguage_p2,Employment,TotalIncome,Race,Education,Age_1,Gender,ExistInPart2,WalmartProduct,WalmartProduct_Clicked,WalmartProduct_Details,RedCross,RedCross_Clicked,RedCross_Details,SSA_HP,SSA_HP_Clicked,SSA_HP_Details,mySSA,mySSA_Clicked,mySSA_Details,AmazonDeliveryDelay,AmazonDeliveryDelay_Clicked,AmazonDeliveryDelay_Details,FB_SSA,FB_SSA_Clicked,FB_SSA_Details,ssa_optout,ssa_optout_Clicked,ssa_optout_Details,replacementCard,replacementCard_Clicked,replacementCard_Details,medicareReview,medicareReview_Clicked,medicareReview_Details,benefitsSuspension,benefitsSuspension_Clicked,benefitsSuspension_Details,ExistInMongo_Test,MongoTest_Complete,StartDate_p3,EndDate_p3,Status_p3,Progress_p3,duration_p3,Finished_p3,RecordedDate_p3,ResponseId_p3,RecipientLastName_p3,RecipientFirstName_p3,RecipientEmail_p3,ExternalReference_p3,DistributionChannel_p3,UserLanguage_p3,previousFraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,ExistInPart3,Wave,IsPrimaryWave,duration_p1_Quantile,duration_p2_Quantile,duration_p3_Quantile,daysFromTrainingToTest,cleanStatus,DuplicatedPID,DuplicatedCleanPID,PID_Length,IsBBB,incomeAmount,race5,employment3,educYears,ageYears,genderI,ageYearsSq,lIncomeAmount,fraudExperience_SSA,fraudExperience_Govt,fraudExperience_Biz,fraudExperience_YN,fraudLoss_YN,fraudLoss_Amount,GovtConfScore,TrustInSSAScore,TrustInInternetScore,OnlineShoppingScore,LonelyScore,numCorrect,numFakeLabeledReal,numRealLabeledFake,numRealLabeledReal,numFakeLabeledFake,numEmailsCorrect,numWebsitesCorrect,numLettersCorrect,numSMSesCorrect,numCorrect_Govt,numCorrect_Biz,numEmailsCorrect_Govt,numEmailsCorrect_Biz,numWebsitesCorrect_Govt,numWebsitesCorrect_Biz,numLabeledReal,numLabeledFake,numNoAnswer,Correct_WalmartProduct,Correct_RedCross,Correct_SSA_HP,Correct_mySSA,Correct_AmazonDeliveryDelay,Correct_FB_SSA,Correct_ssa_optout,Correct_replacementCard,Correct_medicareReview,Correct_benefitsSuspension,droppedFinalQuestion,percentCorrect,percentCorrect_Email,percentCorrect_Web,percentCorrect_Letter,percentCorrect_Govt,percentCorrect_Biz,percentCorrect_Scam,percentCorrect_Real
16,2022-08-10 19:48:00,8/10/2022 19:59,IP Address,100,623,True,8/10/2022 19:59,R_1IsWZAURKW2J9lm,,,,,anonymous,EN,,Yes,,Chrome,103.0.5060.134,Windows NT 10.0,1280x720,Very little,Basically content,Only some of the time,Government is doing too many things better left to businesses and individuals.,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Agree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Once a month,,arm1_control,5f5e6cd10dad3d0e268e569f,5f5e6cd10dad3d0e268e569f,1,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,8/10/2022 19:59,8/10/2022 20:01,IP Address,100,139,True,8/10/2022 20:01,R_syU2S3aElXPeLFT,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$0 - $19,999",African American or African (Non-Hispanic),"High school degree or equivalent (e.g., GED)",42.0,Female,True,Real,,,Real,,Details,Real,,,Scam,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,True,True,8/10/2022 20:08,8/10/2022 20:10,IP Address,100,132,True,8/10/2022 20:10,R_yJdj1eS70kTKRb3,,,,,anonymous,EN,Someone selling fraudulent goods or services,No,,No,No,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,4,4,4,0,Keep,False,False,24,False,10,B,E,12,42.0,1,1764.0,2.302585092994046,False,False,True,True,False,0.0,8,5.0,3.5,4,1.6666666666666667,6,2,2,3,3,2,3,1,0,4,2,1,1,2,1,5,5,0,True,False,True,True,True,False,True,False,False,True,False,60.0,50.0,75.0,50.0,66.66666666666666,50.0,60.0,60.0
22,2022-08-10 19:48:00,8/10/2022 20:02,IP Address,100,828,True,8/10/2022 20:02,R_2zGs0RBTuyR25m5,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Macintosh,1440x900,Very little,Angry,Never,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Strongly Disagree,Slightly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a week,,arm4_interactive,60c12c0450fc37e8e2fd0e99,60c12c0450fc37e8e2fd0e99,2,1,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,Details,Scam,,Details,True,True,8/10/2022 20:07,8/10/2022 20:08,IP Address,100,86,True,8/10/2022 20:08,R_ZfzkdVa9o30aXnP,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$0 - $19,999","White or Caucasian (Non-Hispanic),Hispanic",Bachelor degree,25.0,Female,True,Real,,,Scam,,,Real,,,Scam,Click,,Real,,Details,Scam,,,Real,,Details,Real,,,Real,,,Scam,,,True,True,8/10/2022 20:16,8/10/2022 20:17,IP Address,100,67,True,8/10/2022 20:17,R_2OIvWksbadKLKWi,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",Not Sure,,No,Yes,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,4,4,2,0,Keep,False,False,24,False,10,H,U,16,25.0,1,625.0,2.302585092994046,False,True,True,True,False,0.0,6,3.5,3.125,5,1.6666666666666667,9,1,0,5,4,3,4,2,0,5,4,1,2,2,2,6,4,0,True,True,True,True,True,True,False,True,True,True,False,90.0,75.0,100.0,100.0,83.33333333333334,100.0,80.0,100.0
8,2022-08-10 19:48:00,8/10/2022 19:50,IP Address,100,122,True,8/10/2022 19:50,R_1PTNgDyaDsPxqfZ,,,,,anonymous,EN,,Yes,,Safari iPhone,15.5,iPhone,414x896,Very little,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a week,,arm1_control,61098fe06c36048d19f69629,61098fe06c36048d19f69629,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,8/10/2022 19:50,8/10/2022 19:51,IP Address,100,31,True,8/10/2022 19:51,R_2z6kwkKJaMQ9dbQ,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,23.0,Female,True,Real,,,Real,,,Real,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,True,True,8/10/2022 19:53,8/10/2022 19:54,IP Address,100,53,True,8/10/2022 19:54,R_27xPURlR4zqGT6x,,,,,anonymous,EN,"Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",Yes,1200.0,Yes,No,Hardly ever,Some of the time,Often,"Yes, use the responses.",True,1,True,0,0,0,0,Keep,False,False,24,False,30,W,E,13,23.0,1,529.0,3.4011973816621555,False,True,True,True,True,1200.0,7,4.0,5.125,5,2.0,6,2,2,3,3,2,3,1,0,3,3,1,1,1,2,5,5,0,True,False,True,False,True,True,True,False,False,True,False,60.0,50.0,75.0,50.0,50.0,75.0,60.0,60.0
13,2022-08-10 19:51:00,8/10/2022 19:55,IP Address,100,277,True,8/10/2022 19:55,R_2wmXyrPuCGLZ7mo,,,,,anonymous,EN,,Yes,,Chrome,104.0.0.0,Macintosh,1440x900,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a week,,arm4_interactive,5e71538a5a6f13000be49db8,5e71538a5a6f13000be49db8,0,0,Real,,,Real,,,Scam,,,Real,,,Scam,,,Real,,,Scam,,,Real,,,True,True,8/10/2022 19:57,8/10/2022 19:59,IP Address,100,71,True,8/10/2022 19:59,R_3RmUgR1JVjocrUi,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$100,000 - $149,999",Asian American or Asian,Graduate or professional degree,33.0,Male,True,Scam,,,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,True,True,8/10/2022 20:03,8/10/2022 20:03,IP Address,100,35,True,8/10/2022 20:03,R_11jAUMIaU8ejsX8,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,3,4,0,0,Keep,False,False,24,False,125,A,E,18,33.0,0,1089.0,4.8283137373023015,False,False,True,True,False,0.0,9,4.0,1.0,5,1.0,4,3,3,2,2,1,2,1,0,3,1,0,1,2,0,5,5,0,False,False,True,True,True,False,False,False,False,True,False,40.0,25.0,50.0,50.0,50.0,25.0,40.0,40.0
14,2022-08-10 19:51:00,8/10/2022 19:56,IP Address,100,298,True,8/10/2022 19:56,R_3CHntSQRmceXIab,,,,,anonymous,EN,,Yes,,Chrome,104.0.0.0,Windows NT 10.0,2560x1080,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Disagree,Disagree,Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a week,,arm4_interactive,5f79809ea692be01b666c74a,5f79809ea692be01b666c74a,3,0,Real,,Details,Real,,,Scam,,Details,Real,,,Real,,,Real,,,Real,,Details,Scam,,Details,True,True,8/10/2022 20:02,8/10/2022 20:03,IP Address,100,69,True,8/10/2022 20:03,R_3plRINdM91e6Voi,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$0 - $19,999","White or Caucasian (Non-Hispanic),African American or African (Non-Hispanic)",Bachelor degree,34.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,Details,Real,,,Scam,,,Scam,,,True,True,8/10/2022 20:10,8/10/2022 20:12,IP Address,100,114,True,8/10/2022 20:12,R_2q4SmcsJ7HLQCof,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services,Other",No,,Yes,No,Hardly ever,Hardly ever,Some of the time,"Yes, use the responses.",True,1,True,3,3,4,0,Keep,False,False,24,False,10,B,U,16,34.0,1,1156.0,2.302585092994046,False,True,True,True,False,0.0,9,4.2,2.625,5,1.3333333333333333,9,0,1,4,5,4,4,1,0,5,4,2,2,2,2,4,6,0,True,True,True,True,True,True,True,True,False,True,False,90.0,100.0,100.0,50.0,83.33333333333334,100.0,100.0,80.0
12,2022-08-10 19:52:00,8/10/2022 19:54,IP Address,100,134,True,8/10/2022 19:54,R_3NUHfv3h2BQKsvG,,,,,anonymous,EN,,Yes,,Firefox,103,Windows NT 10.0,1920x1080,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Disagree,Slightly Agree,Strongly Disagree,Agree,Slightly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Agree,Slightly Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Once a month,,arm1_control,5dd731f816d10c6dc5f812b6,5dd731f816d10c6dc5f812b6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,8/10/2022 19:54,8/10/2022 19:55,IP Address,100,38,True,8/10/2022 19:55,R_UosFLcLaOGaJr6F,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$100,000 - $149,999","White or Caucasian (Non-Hispanic),Asian American or Asian",Bachelor degree,34.0,Female,True,Scam,,,Real,,,Real,,,Scam,,,Real,,,Scam,,,Real,,,Scam,,,Scam,,,Real,,,True,True,8/10/2022 19:58,8/10/2022 19:59,IP Address,100,52,True,8/10/2022 19:59,R_3dXkTyTCFKLCt6I,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone selling fraudulent goods or services",No,,No,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,0,1,0,0,Keep,False,False,24,False,125,A,E,16,34.0,1,1156.0,4.8283137373023015,False,True,True,True,False,0.0,8,5.2,2.75,4,2.0,4,3,3,2,2,1,3,0,0,2,2,0,1,2,1,5,5,0,False,False,True,True,True,True,False,False,False,False,False,40.0,25.0,75.0,0.0,33.33333333333333,50.0,40.0,40.0
17,2022-08-10 19:53:00,8/10/2022 20:00,IP Address,100,394,True,8/10/2022 20:00,R_3DcK8xbmkvP6MIv,,,,,anonymous,EN,,Yes,,Safari iPhone,15.6,iPhone,375x812,Some,Angry,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a week,,arm4_interactive,614f3724aa07723253829250,614f3724aa07723253829250,3,0,Real,Click,Details,Real,,,Scam,,Details,Real,,,Real,,,Real,,,Real,,Details,Scam,,Details,True,True,8/10/2022 20:06,8/10/2022 20:07,IP Address,100,52,True,8/10/2022 20:07,R_3HLgiFDBiv9cKLI,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Bachelor degree,37.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,Details,Real,,,Scam,,,Scam,,,True,True,8/10/2022 20:11,8/10/2022 20:13,IP Address,100,93,True,8/10/2022 20:13,R_8itLy0iUaOCVUfD,,,,,anonymous,EN,"Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,4,2,3,0,Keep,False,False,24,False,90,W,E,16,37.0,1,1369.0,4.499809670330265,False,True,True,True,False,0.0,8,3.7,3.5,5,1.6666666666666667,9,0,1,4,5,4,4,1,0,5,4,2,2,2,2,4,6,0,True,True,True,True,True,True,True,True,False,True,False,90.0,100.0,100.0,50.0,83.33333333333334,100.0,100.0,80.0
20,2022-08-10 19:53:00,8/10/2022 20:01,IP Address,100,499,True,8/10/2022 20:01,R_2U9ksfwl3H1MGZ3,,,,,anonymous,EN,,Yes,,Edge,103.0.1264.49,Windows NT 10.0,1366x768,Very little,Frustrated,Never,Government should do more to solve problems.,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Agree,Slightly Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Disagree,Once a week,,arm4_interactive,60ff2fba1d8a372fa630afa3,60ff2fba1d8a372fa630afa3,4,0,Real,,Details,Real,,,Scam,,Details,Real,,,Real,,,Real,,,Real,Click,Details,Scam,,Details,True,True,8/10/2022 20:04,8/10/2022 20:04,IP Address,100,33,True,8/10/2022 20:04,R_3L0DfzWL1rAaon2,,,,,anonymous,EN,"Not employed, NOT looking for work","$0 - $19,999","White or Caucasian (Non-Hispanic),African American or African (Non-Hispanic)",Bachelor degree,28.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,Details,Real,,Details,Real,,,Scam,,,True,True,8/10/2022 20:06,8/10/2022 20:07,IP Address,100,60,True,8/10/2022 20:07,R_32KrFoUN0S8Tqe8,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Some of the time,Often,"Yes, use the responses.",True,1,True,4,0,1,0,Keep,False,False,24,False,10,B,U,16,28.0,1,784.0,2.302585092994046,False,True,True,True,False,0.0,7,3.6,2.75,5,2.3333333333333335,10,0,0,5,5,4,4,2,0,6,4,2,2,2,2,5,5,0,True,True,True,True,True,True,True,True,True,True,False,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
15,2022-08-10 19:54:00,8/10/2022 19:56,IP Address,100,99,True,8/10/2022 19:56,R_cImyAlmpvbQcOJj,,,,,anonymous,EN,,Yes,,Chrome,104.0.0.0,Windows NT 10.0,1366x768,Very little,Angry,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Strongly Disagree,Slightly Disagree,Slightly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,A few times a year,,arm1_control,6291395df95f13a81f5ea2dd,6291395df95f13a81f5ea2dd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,8/10/2022 19:56,8/10/2022 19:56,IP Address,100,20,True,8/10/2022 19:56,R_1pEcR3qYHJf0ZcT,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",28.0,Male,True,Real,,,Real,,,Real,,,Real,,,Real,,,Real,,,Real,,,Real,,,Real,,,Scam,,,True,True,8/10/2022 19:59,8/10/2022 20:00,IP Address,100,41,True,8/10/2022 20:00,R_3p06Xe2pIOl2ynt,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Some of the time,Often,"Yes, use the responses.",True,1,True,0,0,0,0,Keep,False,False,24,False,30,W,E,12,28.0,0,784.0,3.4011973816621555,False,True,True,True,False,0.0,7,1.5,3.875,3,2.3333333333333335,6,4,0,5,1,2,2,2,0,4,2,1,1,1,1,9,1,0,True,False,True,False,True,False,False,True,True,True,False,60.0,50.0,50.0,100.0,66.66666666666666,50.0,20.0,100.0
28,2022-08-10 19:56:00,8/10/2022 20:06,IP Address,100,569,True,8/10/2022 20:06,R_3kL1QVVxRWJ9kNC,,,,,anonymous,EN,,Yes,,Edge,104.0.1293.47,Windows NT 10.0,1600x900,Some,Frustrated,Most of the time,Government should do more to solve problems.,Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Agree,Slightly Agree,Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a week,,arm4_interactive,62d458437af301fdbda37ebf,62d458437af301fdbda37ebf,3,0,Real,,Details,Real,,,Scam,,Details,Real,,,Real,,,Real,,,Real,,Details,Scam,,Details,True,True,8/10/2022 20:11,8/10/2022 20:12,IP Address,100,62,True,8/10/2022 20:12,R_D81cEtVguMD1k1b,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",50.0,Female,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Real,,Details,Real,,,Scam,,,Scam,,,True,True,8/10/2022 20:21,8/10/2022 20:24,IP Address,100,147,True,8/10/2022 20:24,R_211lRkjrOQjzElL,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Some of the time,Hardly ever,"Yes, use the responses.",True,1,True,4,3,4,0,Keep,False,False,24,False,60,W,E,12,50.0,1,2500.0,4.0943445622221,False,True,True,True,False,0.0,10,4.0,4.125,5,1.3333333333333333,7,2,1,4,3,3,3,1,0,4,3,1,2,2,1,6,4,0,True,True,True,True,True,False,False,True,False,True,False,70.0,75.0,75.0,50.0,66.66666666666666,75.0,60.0,80.0
21,2022-08-10 19:56:00,8/10/2022 20:01,IP Address,100,286,True,8/10/2022 20:01,R_125zwxTFrTgBCsn,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Macintosh,1366x768,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Once a month,,arm4_interactive,6108e0f394ea82edc8b1884a,6108e0f394ea82edc8b1884a,0,0,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Scam,,,Scam,,,True,True,8/10/2022 20:05,8/10/2022 20:07,IP Address,100,95,True,8/10/2022 20:07,R_ONiMAbItjxOc6mR,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",24.0,Female,True,Real,,,Real,,,Real,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,Real,,,Scam,,,True,True,8/10/2022 20:10,8/10/2022 20:13,IP Address,100,157,True,8/10/2022 20:13,R_2pQRpRyzv53STNf,,,,,anonymous,EN,Someone claiming to be from the IRS (but wasn't),No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,3,4,4,0,Keep,False,False,24,False,70,W,E,12,24.0,1,576.0,4.248495242049359,False,True,False,True,False,0.0,8,6.0,4.5,4,1.0,7,2,1,4,3,2,3,2,0,4,3,1,1,1,2,6,4,0,True,False,True,False,True,True,True,False,True,True,False,70.0,50.0,75.0,100.0,66.66666666666666,75.0,60.0,80.0
18,2022-08-10 19:58:00,8/10/2022 20:01,IP Address,100,164,True,8/10/2022 20:01,R_1DZjSGQv7lc4fq0,,,,,anonymous,EN,,Yes,,Chrome,104.0.0.0,Android 10,424x848,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Agree,Slightly Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Neither Agree nor Disagree,Strongly Disagree,Agree,Slightly Agree,A few times a year,,arm1_control,5ab0a8f9c4e8f200014b5d81,5ab0a8f9c4e8f200014b5d81,4,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,8/10/2022 20:01,8/10/2022 20:01,IP Address,100,36,True,8/10/2022 20:01,R_1LTLAq7hiEtv15W,,,,,anonymous,EN,"Disabled, not able to work","$0 - $19,999",White or Caucasian (Non-Hispanic),Some college but no degree,38.0,Male,True,Real,,,Scam,,Details,Real,,,Real,,,Real,,Details,Scam,,,Real,,Details,Real,,Details,Real,,,Scam,,,True,True,8/10/2022 20:03,8/10/2022 20:04,IP Address,100,60,True,8/10/2022 20:04,R_C7TWnJdk6Bd9sjf,,,,,anonymous,EN,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,Yes,Often,Some of the time,Often,"Yes, use the responses.",True,1,True,1,1,1,0,Keep,False,False,24,False,10,W,R,13,38.0,0,1444.0,2.302585092994046,False,False,True,True,False,0.0,8,4.6,4.375,3,2.6666666666666665,8,2,0,5,3,3,3,2,0,4,4,1,2,1,2,7,3,0,True,True,True,False,True,True,False,True,True,True,False,80.0,75.0,75.0,100.0,66.66666666666666,100.0,60.0,100.0
24,2022-08-10 19:59:00,8/10/2022 20:03,IP Address,100,224,True,8/10/2022 20:03,R_1P6r0R5cd9GLJUi,,,,,anonymous,EN,,Yes,,Chrome,104.0.0.0,Android 12,412x915,Very little,Angry,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Once a month,,arm4_interactive,62f18a81b0ea9de9d3afe89e,62f18a81b0ea9de9d3afe89e,3,0,Real,,,Real,,,Scam,,,Real,,,Real,Click,,Scam,,,Real,,Details,Scam,,Details,True,True,8/10/2022 20:07,8/10/2022 20:07,IP Address,100,30,True,8/10/2022 20:07,R_2D20GnoKBYg4BVx,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Bachelor degree,27.0,Male,True,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Real,,,Real,,,Scam,,,True,True,8/10/2022 20:12,8/10/2022 20:13,IP Address,100,70,True,8/10/2022 20:13,R_Ugejm7oVst1r9WV,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,2,0,2,0,Keep,False,False,24,False,60,W,E,16,27.0,0,729.0,4.0943445622221,True,True,True,True,False,0.0,7,3.2,4.25,4,1.6666666666666667,9,1,0,5,4,4,3,2,0,6,3,2,2,2,1,6,4,0,True,True,True,True,True,False,True,True,True,True,False,90.0,100.0,75.0,100.0,100.0,75.0,80.0,100.0
