StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,govt_trust_1,govt_trust_2,govt_trust_3,govt_trust_4,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,surveyArm,PROLIFIC_PID,PID
8/14/2022 16:07,8/14/2022 16:13,IP Address,100,332,TRUE,8/14/2022 16:13,R_pnHnKg6P6KLCtcB,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Windows NT 10.0,1366x768,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Disagree,A few times a week / Daily,arm1_control,62e8db6f495d93a29697bfc5,62e8db6f495d93a29697bfc5
8/14/2022 16:21,8/14/2022 16:24,IP Address,100,163,TRUE,8/14/2022 16:24,R_3EYFRux972vfoLi,,,,,anonymous,EN,Yes,,Chrome,103.0.0.0,Macintosh,1512x982,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Strongly Agree,Agree,Slightly Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,A few times a week / Daily,arm1_control,60fcfce36f95b06cbe038fca,60fcfce36f95b06cbe038fca
8/14/2022 16:21,8/14/2022 16:24,IP Address,100,157,TRUE,8/14/2022 16:24,R_rlF3zfNeAxuZu0N,,,,,anonymous,EN,Yes,,Chrome,103.0.0.0,Macintosh,1440x900,Some,Angry,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Strongly Agree,Slightly Agree,Slightly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a week,arm1_control,6175b0ddd46446a6335f0a3e,6175b0ddd46446a6335f0a3e
8/14/2022 16:24,8/14/2022 16:27,IP Address,100,184,TRUE,8/14/2022 16:27,R_2uvts5sH3Oo683X,,,,,anonymous,EN,Yes,,Safari iPhone,15.4,iPhone,375x812,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Disagree,A few times a year,arm1_control,614e0b3ee93e8fc461c3c266,614e0b3ee93e8fc461c3c266
8/14/2022 16:28,8/14/2022 16:33,IP Address,100,324,TRUE,8/14/2022 16:33,R_3Dnz9qUgDXI9Y7A,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Windows NT 10.0,1366x768,None at all,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Slightly Agree,Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Slightly Agree,Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Slightly Disagree,A few times a year,arm1_control,6079ff1600ff2b7455e1c3e0,6079ff1600ff2b7455e1c3e0
8/14/2022 16:34,8/14/2022 16:36,IP Address,100,128,TRUE,8/14/2022 16:36,R_27HdSFCxcq6nRKy,,,,,anonymous,EN,Yes,,Safari iPhone,15.4,iPhone,375x812,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Agree,Slightly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Once a month,arm1_control,5cbf87e2a4f6cd000172a1ec,5cbf87e2a4f6cd000172a1ec
8/14/2022 16:35,8/14/2022 16:39,IP Address,100,219,TRUE,8/14/2022 16:39,R_26nzpRlhLuEK6Sk,,,,,anonymous,EN,Yes,,Chrome iPhone,85.0.4183.109,iPhone,375x667,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Agree,Agree,Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Disagree,Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Disagree,Disagree,A few times a week / Daily,arm1_control,5fbc23920d22730b85393ead,5fbc23920d22730b85393ead
8/14/2022 16:39,8/14/2022 16:41,IP Address,100,147,TRUE,8/14/2022 16:41,R_1C9fhWDYzCzZiu4,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Windows NT 10.0,2560x1080,None at all,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Strongly Agree,Disagree,Slightly Agree,Disagree,Slightly Agree,Agree,Agree,Disagree,Slightly Disagree,Neither Agree nor Disagree,Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,A few times a week / Daily,arm1_control,6033a745a39025078ff19a17,6033a745a39025078ff19a17
8/14/2022 16:43,8/14/2022 16:46,IP Address,100,144,TRUE,8/14/2022 16:46,R_BRMeCGCYwSIUvbr,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Linux x86_64,1440x900,Some,Angry,Never,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Agree,Agree,Slightly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Once a month,arm1_control,59eb4fb0d838ae0001850e4f,59eb4fb0d838ae0001850e4f
8/14/2022 16:43,8/14/2022 16:47,IP Address,100,235,TRUE,8/14/2022 16:47,R_1DHyZ6lgvi2Rx1e,,,,,anonymous,EN,Yes,,Chrome,103.0.0.0,Macintosh,1280x720,Some,Basically content,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a year,arm1_control,5e880ca3f2ece749db94ccc7,5e880ca3f2ece749db94ccc7
8/14/2022 16:05,8/14/2022 16:09,IP Address,100,236,TRUE,8/14/2022 16:09,R_1N81d73B0wL1fXs,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Windows NT 10.0,1280x720,Quite a lot,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Slightly Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Agree,Slightly Disagree,Slightly Agree,A few times a week / Daily,arm2_generalinfo,62dd7568b19e505bb6b46ec9,62dd7568b19e505bb6b46ec9
8/14/2022 16:15,8/14/2022 16:19,IP Address,100,191,TRUE,8/14/2022 16:19,R_1jqywPltBZKMX1d,,,,,anonymous,EN,Yes,,Edge,104.0.1293.54,Windows NT 10.0,1920x1080,Quite a lot,Frustrated,Never,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Neither Agree nor Disagree,Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Once a month,arm2_generalinfo,62f817bf9a82e485208c0dae,62f817bf9a82e485208c0dae
8/14/2022 16:19,8/14/2022 16:25,IP Address,100,341,TRUE,8/14/2022 16:25,R_T6s1OyRCUAJ3ccN,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Windows NT 10.0,1600x900,None at all,Angry,Never,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Disagree,Disagree,Slightly Agree,Neither Agree nor Disagree,Disagree,Slightly Disagree,Disagree,Slightly Disagree,A few times a year,arm2_generalinfo,5ec1ba7ad1e98a5ef21513ea,5ec1ba7ad1e98a5ef21513ea
8/14/2022 16:22,8/14/2022 16:26,IP Address,100,215,TRUE,8/14/2022 16:26,R_3dGhngSnOdRgYRA,,,,,anonymous,EN,Yes,,Chrome,104.0.5112.81,Macintosh,1440x900,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,A few times a year,arm2_generalinfo,62f41ebfed31df5fe98dc7b5,62f41ebfed31df5fe98dc7b5
8/14/2022 16:24,8/14/2022 16:31,IP Address,100,432,TRUE,8/14/2022 16:31,R_3ivQta5J89kLbAL,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Windows NT 10.0,1920x1080,Very little,Angry,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Strongly Agree,Neither Agree nor Disagree,Slightly Disagree,Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a month,arm2_generalinfo,588021688e1ad5000142dfdf,588021688e1ad5000142dfdf
8/14/2022 16:29,8/14/2022 16:34,IP Address,100,307,TRUE,8/14/2022 16:34,R_3dPKHaIrXouFhjy,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Windows NT 10.0,1824x1026,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,A few times a year,arm2_generalinfo,60bf9943e4e04642d4634ecc,60bf9943e4e04642d4634ecc
8/14/2022 16:29,8/14/2022 16:36,IP Address,100,431,TRUE,8/14/2022 16:36,R_3NDjLeX800w7l5a,,,,,anonymous,EN,Yes,,Chrome,99.0.4844.88,Android 9,360x780,Very little,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Disagree,Slightly Disagree,Slightly Disagree,Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Slightly Agree,Agree,Slightly Agree,Agree,Slightly Agree,Agree,Neither Agree nor Disagree,A few times a week / Daily,arm2_generalinfo,62e7a938dcfa4bc87aca18f4,62e7a938dcfa4bc87aca18f4
8/14/2022 16:36,8/14/2022 16:38,IP Address,100,145,TRUE,8/14/2022 16:38,R_06SoUk8EI00MS8V,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Windows NT 10.0,1536x864,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,arm2_generalinfo,62e946455b6f9002b1200937,62e946455b6f9002b1200937
8/14/2022 16:31,8/14/2022 16:41,IP Address,100,611,TRUE,8/14/2022 16:41,R_3Kr3ryR6LsJrYIx,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Macintosh,1440x900,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Disagree,Slightly Agree,Agree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a week,arm2_generalinfo,6151e99643efef855fe4e0e2,6151e99643efef855fe4e0e2
8/14/2022 16:40,8/14/2022 16:45,IP Address,100,258,TRUE,8/14/2022 16:45,R_1OTrwStLFLUnIp7,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Macintosh,1440x900,Quite a lot,Frustrated,Most of the time,Government should do more to solve problems.,Agree,Slightly Agree,Disagree,Agree,Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,A few times a week / Daily,arm2_generalinfo,615dbf532dce1f14ef1b3ddc,615dbf532dce1f14ef1b3ddc
8/14/2022 16:43,8/14/2022 16:47,IP Address,100,244,TRUE,8/14/2022 16:47,R_1jIgSAFP9UPkyVh,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Windows NT 10.0,1280x720,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Agree,Slightly Agree,A few times a year,arm2_generalinfo,62e9706486b1c0b15a7198dc,62e9706486b1c0b15a7198dc
8/14/2022 16:16,8/14/2022 16:18,IP Address,100,113,TRUE,8/14/2022 16:18,R_veHSOsdAw72C9ON,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Windows NT 10.0,1366x768,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,A few times a week / Daily,arm3_tips,592d00d3b885e8000191bc39,592d00d3b885e8000191bc39
8/14/2022 16:19,8/14/2022 16:22,IP Address,100,185,TRUE,8/14/2022 16:22,R_2dFpJjYqpkwyPmh,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Android 12,385x854,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,A few times a year,arm3_tips,5be8eb4d40b06b0001372c77,5be8eb4d40b06b0001372c77
8/14/2022 16:21,8/14/2022 16:25,IP Address,100,282,TRUE,8/14/2022 16:25,R_2QF2qtQrR2SKMBu,,,,,anonymous,EN,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1536x864,Quite a lot,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Disagree,Disagree,Slightly Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,Strongly Agree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Once a week,arm3_tips,5bd4e6f7c4f8e900013ae526,5bd4e6f7c4f8e900013ae526
8/14/2022 16:30,8/14/2022 16:32,IP Address,100,126,TRUE,8/14/2022 16:32,R_3s03PujvrMQi7Ho,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Android 12,360x780,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a month,arm3_tips,61bb38fd40db417c1a138d6d,61bb38fd40db417c1a138d6d
8/14/2022 16:33,8/14/2022 16:35,IP Address,100,111,TRUE,8/14/2022 16:35,R_6i0X0Y5nl3kNKb7,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Android 10,412x877,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Disagree,Slightly Agree,Slightly Agree,Disagree,Disagree,Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Disagree,Disagree,Neither Agree nor Disagree,Disagree,Slightly Disagree,Disagree,Disagree,Slightly Disagree,Once a month,arm3_tips,6053d496c98d5c302ec2e31d,6053d496c98d5c302ec2e31d
8/14/2022 16:26,8/14/2022 16:37,IP Address,100,629,TRUE,8/14/2022 16:37,R_2uKRzb2RO1ILAue,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Windows NT 10.0,1536x864,Some,Basically content,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Disagree,Disagree,Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Slightly Agree,Agree,Agree,Neither Agree nor Disagree,A few times a week / Daily,arm3_tips,607ec99a0e2f8caf3de9f839,607ec99a0e2f8caf3de9f839
8/14/2022 16:35,8/14/2022 16:37,IP Address,100,151,TRUE,8/14/2022 16:37,R_1gCShU93HsG6Rr8,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Macintosh,1680x1050,None at all,Frustrated,Only some of the time,Government should do more to solve problems.,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Agree,Slightly Agree,Strongly Agree,Neither Agree nor Disagree,Once a month,arm3_tips,611eef754123647098e9932b,611eef754123647098e9932b
8/14/2022 16:41,8/14/2022 16:43,IP Address,100,136,TRUE,8/14/2022 16:43,R_3P7a99KhPuSIMpD,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Android 12,1480x924,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,arm3_tips,574f762b93dcfe00069f38c1,574f762b93dcfe00069f38c1
8/14/2022 16:36,8/14/2022 16:44,IP Address,100,487,TRUE,8/14/2022 16:44,R_25F40H2jTxB0Mcz,,,,,anonymous,EN,Yes,,Edge,104.0.1293.54,Windows NT 10.0,1366x768,Quite a lot,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Disagree,Slightly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,A few times a year,arm3_tips,623a2e42546a236f010f14db,623a2e42546a236f010f14db
8/14/2022 16:05,8/14/2022 16:14,IP Address,100,539,TRUE,8/14/2022 16:14,R_3E9ZiPxTMUykne0,,,,,anonymous,EN,Yes,,Chrome,103.0.0.0,Macintosh,1440x900,Very little,Angry,Never,Government should do more to solve problems.,Slightly Agree,Slightly Disagree,Disagree,Slightly Agree,Disagree,Slightly Disagree,Agree,Disagree,Neither Agree nor Disagree,Slightly Agree,Disagree,Disagree,Slightly Agree,Slightly Disagree,Disagree,Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a week,arm4_interactive,5f5d686b73b8275cd43f2e8e,5f5d686b73b8275cd43f2e8e
8/14/2022 16:17,8/14/2022 16:20,IP Address,100,181,TRUE,8/14/2022 16:20,R_3qQnvmiX7rjXl2r,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,CrOS x86_64 14909.100.0,1226x817,Some,Angry,Only some of the time,Government should do more to solve problems.,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,arm4_interactive,6111e37fe81d1932ae8de5e8,6111e37fe81d1932ae8de5e8
8/14/2022 16:23,8/14/2022 16:27,IP Address,100,207,TRUE,8/14/2022 16:27,R_21ae9vuqtILqzqV,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Windows NT 10.0,1536x864,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,Slightly Disagree,Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a year,arm4_interactive,5f1232c491d5a116349de832,5f1232c491d5a116349de832
8/14/2022 16:26,8/14/2022 16:28,IP Address,100,134,TRUE,8/14/2022 16:28,R_2Ufl2qnmXXOSgPZ,,,,,anonymous,EN,Yes,,Chrome,103.0.0.0,Macintosh,1440x900,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Disagree,Agree,Slightly Disagree,Neither Agree nor Disagree,Agree,Slightly Disagree,Slightly Agree,Agree,Slightly Agree,Agree,Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Agree,Neither Agree nor Disagree,Once a week,arm4_interactive,5ef16261c970f4526c7695eb,5ef16261c970f4526c7695eb
8/14/2022 16:32,8/14/2022 16:35,IP Address,100,189,TRUE,8/14/2022 16:35,R_239LqdCpfV3nfvv,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Windows NT 10.0,1536x864,None at all,Angry,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Slightly Agree,Disagree,Slightly Disagree,Strongly Agree,Neither Agree nor Disagree,Slightly Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a month,arm4_interactive,628fe73fd4a1479a796c6e02,628fe73fd4a1479a796c6e02
8/14/2022 16:34,8/14/2022 16:38,IP Address,100,200,TRUE,8/14/2022 16:38,R_2qqtJrKPpVdchFz,,,,,anonymous,EN,Yes,,Safari iPhone,15.6,iPhone,390x844,Some,Angry,Only some of the time,Government is doing too many things better left to businesses and individuals.,Disagree,Disagree,Strongly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Strongly Agree,Agree,Slightly Disagree,Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Disagree,Slightly Disagree,Slightly Agree,Disagree,Once a week,arm4_interactive,5e967d0cd7a0c6106f492602,5e967d0cd7a0c6106f492602
8/14/2022 16:35,8/14/2022 16:41,IP Address,100,376,TRUE,8/14/2022 16:41,R_BEyrl8dPp8LLa4F,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Windows NT 10.0,2560x1440,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Slightly Disagree,Slightly Disagree,Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Disagree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,A few times a year,arm4_interactive,62f9665d7a505c0cf2b0dd42,62f9665d7a505c0cf2b0dd42
8/14/2022 16:39,8/14/2022 16:42,IP Address,100,169,TRUE,8/14/2022 16:42,R_3m9LC4ReH8vRSA6,,,,,anonymous,EN,Yes,,Chrome,104.0.0.0,Windows NT 10.0,2048x1152,None at all,Angry,Never,Government should do more to solve problems.,Slightly Disagree,Disagree,Strongly Disagree,Slightly Disagree,Slightly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Once a week,arm4_interactive,5cfd7167adab2f0016d1571f,5cfd7167adab2f0016d1571f
8/14/2022 16:40,8/14/2022 16:42,IP Address,100,126,TRUE,8/14/2022 16:42,R_12MA1GVlbFhosCD,,,,,anonymous,EN,Yes,,Safari,15.3,Macintosh,1440x900,Some,Frustrated,Never,Government is doing too many things better left to businesses and individuals.,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a week,arm4_interactive,610779121f070c7b8e34c122,610779121f070c7b8e34c122
8/14/2022 16:43,8/14/2022 16:47,IP Address,100,216,TRUE,8/14/2022 16:47,R_BSpGWYheYNKiHUl,,,,,anonymous,EN,Yes,,Chrome,103.0.0.0,Android 12,385x824,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Strongly Disagree,Slightly Agree,Slightly Agree,Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,A few times a week / Daily,arm4_interactive,60749006a2c37cf53763a864,60749006a2c37cf53763a864
